零件号,零件名称,包装袋情况,干燥剂情况,零件质量要求,包装等级分类,单车用量,零件分类,零件重量（KG）,零件种类,CKD包装类型,零件重量KG,零件尺寸L,零件尺寸W,零件尺寸H,CKD 包装尺寸L,CKD 包装尺寸L.1,CKD 包装尺寸L.2,CKD SNP
H97A5520085ADTE15,左B柱上饰板总成,,,1. 核心防护：防变形、防划伤、防碰撞；2. 尺寸要求：关键尺寸偏差≤±0.5mm；3. 表面要求：无凹陷、无划痕、无锈蚀；4. 材质要求：符合设计强度标准,C,1.0,采购件,0.593,总装,天地盖纸箱,0.743,570,272,180,1480.0,1480.0,1480.0,16.0
H97A5205012AA,右前雨刮臂总成,,,1. 核心防护：防损伤、防污损、防丢失；2. 外观要求：表面无划痕、无锈蚀、无破损；3. 尺寸要求：符合设计图纸要求；4. 通用要求：无明显质量缺陷,C,1.0,采购件,,总装,纸箱,0.543,649,101,74,840.0,840.0,840.0,24.0
H97A5501080AABEGA,仪表板右端盖总成,,,1. 核心防护：防变形、防划伤、防碰撞；2. 尺寸要求：关键尺寸偏差≤±0.5mm；3. 表面要求：无凹陷、无划痕、无锈蚀；4. 材质要求：符合设计强度标准,C,1.0,采购件,,总装,纸箱,0.172,460.93,143.75,93.43,720.0,720.0,720.0,16.0
H97C3721002AB,高音喇叭,,,1. 核心防护：防损伤、防污损、防丢失；2. 外观要求：表面无划痕、无锈蚀、无破损；3. 尺寸要求：符合设计图纸要求；4. 通用要求：无明显质量缺陷,C,1.0,采购件,0.243,总装,纸箱,0.24,135,95,83,720.0,720.0,720.0,48.0
H97A5006065AC,左后门C柱装饰板总成,,,1. 核心防护：防变形、防划伤、防碰撞；2. 尺寸要求：关键尺寸偏差≤±0.5mm；3. 表面要求：无凹陷、无划痕、无锈蚀；4. 材质要求：符合设计强度标准,B,1.0,采购件,0.168,总装,纸箱,0.423,207.95,139.73,451.7,720.0,720.0,720.0,16.0
H56A1104023AA,油管双管夹Ⅱ,,,1. 核心防护：防挤压、防破损、防老化；2. 密封要求：接口密封良好，无泄漏风险；3. 材质要求：无裂纹、无气泡、无破损；4. 尺寸要求：内径、壁厚符合设计要求,C,3.0,采购件,0.016,总装,纸箱,0.016,14,60.4,27,360.0,360.0,360.0,48.0
H97A6103007AA,左前门玻璃导槽总成,,,1. 核心防护：防冲击、防划伤、防破碎；2. 外观要求：无气泡、无划痕、无杂质；,B,1.0,采购件,1.14,总装,天地盖纸箱,0.97,985,959,201,1480.0,1480.0,1480.0,24.0
H97A5525001AATE15,左遮阳板,,,1. 核心防护：防变形、防划伤、防碰撞；2. 尺寸要求：关键尺寸偏差≤±0.5mm；3. 表面要求：无凹陷、无划痕、无锈蚀；4. 材质要求：符合设计强度标准,C,1.0,采购件,0.36,总装,纸箱,0.53,440.67,194.44,79.54,360.0,360.0,360.0,12.0
H97D5013007AB,前围外隔音垫,,,1. 核心防护：防损伤、防污损、防丢失；2. 外观要求：表面无划痕、无锈蚀、无破损；3. 尺寸要求：符合设计图纸要求；4. 通用要求：无明显质量缺陷,C,1.0,采购件,0.35,总装,纸箱,5.399,899,453,125,720.0,720.0,720.0,12.0
H97C5505019AABKAA,上面板总成,,,1. 核心防护：防变形、防划伤、防碰撞；2. 尺寸要求：关键尺寸偏差≤±0.5mm；3. 表面要求：无凹陷、无划痕、无锈蚀；4. 材质要求：符合设计强度标准,C,1.0,采购件,0.9445,总装,天地盖纸箱,0.67,361,343,65,1320.0,1320.0,1320.0,24.0
