零件号,零件名称,包装袋情况,干燥剂情况,零件质量要求,包装等级分类,单车用量,零件分类,零件重量（KG）,零件种类,CKD包装类型,零件重量KG,零件尺寸L,零件尺寸W,零件尺寸H,CKD 包装尺寸L,CKD 包装尺寸L.1,CKD 包装尺寸L.2,CKD SNP
H97A2904015AA,前悬架左后上控制臂总成,,,1. 核心防护：防变形、防碰撞、防锈蚀；2. 强度要求：符合设计承载标准；3. 外观要求：无裂纹、无变形、无锈蚀；4. 性能要求：减震性能良好，无异常噪音,C,1.0,采购件,0.45,总装,纸箱,,,,,360.0,360.0,360.0,24.0
H97A7010002AA,右后排座椅靠背总成固定锁销,,,1. 核心防护：防腐蚀、防丢失、防损伤；2. 材质要求：无锈蚀、无裂纹、无变形；,C,1.0,采购件,,总装,纸箱,,,,,360.0,360.0,360.0,24.0
H97A8405005AB,机舱左前装饰板总成,,,1. 核心防护：防变形、防划伤、防碰撞；2. 尺寸要求：关键尺寸偏差≤±0.5mm；3. 表面要求：无凹陷、无划痕、无锈蚀；4. 材质要求：符合设计强度标准,C,1.0,采购件,,总装,天地盖纸箱,/,440.64,92.49,416.88,1700.0,1700.0,1700.0,48.0
H97A5520085ADTE15,左B柱上饰板总成,,,1. 核心防护：防变形、防划伤、防碰撞；2. 尺寸要求：关键尺寸偏差≤±0.5mm；3. 表面要求：无凹陷、无划痕、无锈蚀；4. 材质要求：符合设计强度标准,C,1.0,采购件,0.593,总装,天地盖纸箱,0.743,570,272,180,1480.0,1480.0,1480.0,16.0
H97A5522001CB,行李箱地毯总成,,,1. 核心防护：防损伤、防污损、防丢失；2. 外观要求：表面无划痕、无锈蚀、无破损；3. 尺寸要求：符合设计图纸要求；4. 通用要求：无明显质量缺陷,B,1.0,采购件,2.9,总装,天地盖纸箱,,,,,1180.0,1180.0,1180.0,12.0
H97A5301057AB,前防撞梁连接板（左）,,,1. 核心防护：防变形、防划伤、防碰撞；2. 尺寸要求：关键尺寸偏差≤±0.5mm；3. 表面要求：无凹陷、无划痕、无锈蚀；4. 材质要求：符合设计强度标准,B,1.0,焊装件,,焊装件,纸箱,,,,,720.0,720.0,720.0,24.0
H97A5205012AA,右前雨刮臂总成,,,1. 核心防护：防损伤、防污损、防丢失；2. 外观要求：表面无划痕、无锈蚀、无破损；3. 尺寸要求：符合设计图纸要求；4. 通用要求：无明显质量缺陷,C,1.0,采购件,,总装,纸箱,0.543,649,101,74,840.0,840.0,840.0,24.0
H97A5520102AA,行李箱右后绳钩装饰件,,,1. 核心防护：防损伤、防污损、防丢失；2. 外观要求：表面无划痕、无锈蚀、无破损；3. 尺寸要求：符合设计图纸要求；4. 通用要求：无明显质量缺陷,C,1.0,采购件,0.016,总装,纸箱,,,,,360.0,360.0,360.0,48.0
HQY643005,单管管夹,,,1. 核心防护：防挤压、防破损、防老化；2. 密封要求：接口密封良好，无泄漏风险；3. 材质要求：无裂纹、无气泡、无破损；4. 尺寸要求：内径、壁厚符合设计要求,C,1.0,采购件,,总装,纸箱,,,,,360.0,360.0,360.0,48.0
H97A5501080AABEGA,仪表板右端盖总成,,,1. 核心防护：防变形、防划伤、防碰撞；2. 尺寸要求：关键尺寸偏差≤±0.5mm；3. 表面要求：无凹陷、无划痕、无锈蚀；4. 材质要求：符合设计强度标准,C,1.0,采购件,,总装,纸箱,0.172,460.93,143.75,93.43,720.0,720.0,720.0,16.0
H97A8405010AA,机舱右前装饰板总成,,,1. 核心防护：防变形、防划伤、防碰撞；2. 尺寸要求：关键尺寸偏差≤±0.5mm；3. 表面要求：无凹陷、无划痕、无锈蚀；4. 材质要求：符合设计强度标准,C,1.0,采购件,,总装,天地盖纸箱,/,416.88,380.73,92.49,1700.0,1700.0,1700.0,48.0
H97C3721002AB,高音喇叭,,,1. 核心防护：防损伤、防污损、防丢失；2. 外观要求：表面无划痕、无锈蚀、无破损；3. 尺寸要求：符合设计图纸要求；4. 通用要求：无明显质量缺陷,C,1.0,采购件,0.243,总装,纸箱,0.24,135,95,83,720.0,720.0,720.0,48.0
H97A6203023AA,左后门玻璃后导轨,,,1. 核心防护：防冲击、防划伤、防破碎；2. 外观要求：无气泡、无划痕、无杂质；,C,1.0,采购件,0.09,总装,纸箱,,,,,720.0,720.0,720.0,24.0
H97A5006065AC,左后门C柱装饰板总成,,,1. 核心防护：防变形、防划伤、防碰撞；2. 尺寸要求：关键尺寸偏差≤±0.5mm；3. 表面要求：无凹陷、无划痕、无锈蚀；4. 材质要求：符合设计强度标准,B,1.0,采购件,0.168,总装,纸箱,0.423,207.95,139.73,451.7,720.0,720.0,720.0,16.0
H97A2803033AA,前保险杠左上安装座,,,1. 核心防护：防损伤、防污损、防丢失；2. 外观要求：表面无划痕、无锈蚀、无破损；3. 尺寸要求：符合设计图纸要求；4. 通用要求：无明显质量缺陷,C,1.0,采购件,0.02,总装,纸箱,,,,,360.0,360.0,360.0,48.0
H56A1104023AA,油管双管夹Ⅱ,,,1. 核心防护：防挤压、防破损、防老化；2. 密封要求：接口密封良好，无泄漏风险；3. 材质要求：无裂纹、无气泡、无破损；4. 尺寸要求：内径、壁厚符合设计要求,C,3.0,采购件,0.016,总装,纸箱,0.016,14,60.4,27,360.0,360.0,360.0,48.0
H97C9325010XA,电池包后高压线束总成,,,1. 核心防护：防震动、防潮湿、防静电、防冲击；2. 电气要求：绝缘性能良好，无短路风险；3. 外观要求：外壳无破损，接口无变形；4. 存储要求：温度-20~50℃，湿度≤60%,C,1.0,采购件,1.65,总装,纸箱,,,,,720.0,720.0,720.0,6.0
H97Y2804005ABBK01,后保险杠总成,,,1. 核心防护：防损伤、防污损、防丢失；2. 外观要求：表面无划痕、无锈蚀、无破损；3. 尺寸要求：符合设计图纸要求；4. 通用要求：无明显质量缺陷,B,1.0,涂装件,15,总装,天地盖纸箱,,1896.24,800,820.24,1960.0,1960.0,1960.0,6.0
H97A7903003ABBG03,鲨鱼鳍天线,,,1. 核心防护：防损伤、防污损、防丢失；2. 外观要求：表面无划痕、无锈蚀、无破损；3. 尺寸要求：符合设计图纸要求；4. 通用要求：无明显质量缺陷,B,1.0,采购件,0.483,总装,纸箱,,,,,360.0,360.0,360.0,12.0
H97A6103007AA,左前门玻璃导槽总成,,,1. 核心防护：防冲击、防划伤、防破碎；2. 外观要求：无气泡、无划痕、无杂质；,B,1.0,采购件,1.14,总装,天地盖纸箱,0.97,985,959,201,1480.0,1480.0,1480.0,24.0
H97B7911001BABEGC,麦克风,,,1. 核心防护：防损伤、防污损、防丢失；2. 外观要求：表面无划痕、无锈蚀、无破损；3. 尺寸要求：符合设计图纸要求；4. 通用要求：无明显质量缺陷,C,2.0,采购件,0.004,总装,纸箱,,,,,360.0,360.0,360.0,48.0
H97A5001047AB,前排右后拉手支架组件,,,1. 核心防护：防损伤、防污损、防丢失；2. 外观要求：表面无划痕、无锈蚀、无破损；3. 尺寸要求：符合设计图纸要求；4. 通用要求：无明显质量缺陷,C,1.0,采购件,,总装,纸箱,,,,,720.0,720.0,720.0,24.0
H97A5525001AATE15,左遮阳板,,,1. 核心防护：防变形、防划伤、防碰撞；2. 尺寸要求：关键尺寸偏差≤±0.5mm；3. 表面要求：无凹陷、无划痕、无锈蚀；4. 材质要求：符合设计强度标准,C,1.0,采购件,0.36,总装,纸箱,0.53,440.67,194.44,79.54,360.0,360.0,360.0,12.0
H97D1303021AA,chiller2到四通水管,,,1. 核心防护：防挤压、防破损、防老化；2. 密封要求：接口密封良好，无泄漏风险；3. 材质要求：无裂纹、无气泡、无破损；4. 尺寸要求：内径、壁厚符合设计要求,C,1.0,采购件,0.107,总装,纸箱,/,/,/,/,720.0,720.0,720.0,48.0
H97A6207028AA,右后门防水膜,,,1. 核心防护：防损伤、防污损、防丢失；2. 外观要求：表面无划痕、无锈蚀、无破损；3. 尺寸要求：符合设计图纸要求；4. 通用要求：无明显质量缺陷,C,1.0,采购件,0.044,总装,纸箱,,438.85,435.86,60.08,720.0,720.0,720.0,48.0
H97A1104014AA,油箱隔离阀导管,,,1. 核心防护：防挤压、防破损、防老化；2. 密封要求：接口密封良好，无泄漏风险；3. 材质要求：无裂纹、无气泡、无破损；4. 尺寸要求：内径、壁厚符合设计要求,C,1.0,采购件,0.046,总装,纸箱,,,,,720.0,720.0,720.0,48.0
H97D5013007AB,前围外隔音垫,,,1. 核心防护：防损伤、防污损、防丢失；2. 外观要求：表面无划痕、无锈蚀、无破损；3. 尺寸要求：符合设计图纸要求；4. 通用要求：无明显质量缺陷,C,1.0,采购件,0.35,总装,纸箱,5.399,899,453,125,720.0,720.0,720.0,12.0
H97A7909007BA,低音扬声器,,,1. 核心防护：防损伤、防污损、防丢失；2. 外观要求：表面无划痕、无锈蚀、无破损；3. 尺寸要求：符合设计图纸要求；4. 通用要求：无明显质量缺陷,B,2.0,采购件,0.191,总装,纸箱,,,,,730.0,730.0,730.0,6.0
H97C5505019AABKAA,上面板总成,,,1. 核心防护：防变形、防划伤、防碰撞；2. 尺寸要求：关键尺寸偏差≤±0.5mm；3. 表面要求：无凹陷、无划痕、无锈蚀；4. 材质要求：符合设计强度标准,C,1.0,采购件,0.9445,总装,天地盖纸箱,0.67,361,343,65,1320.0,1320.0,1320.0,24.0
H77A6105900AA,锁芯及机械钥匙合件,,,1. 核心防护：防损伤、防污损、防丢失；2. 外观要求：表面无划痕、无锈蚀、无破损；3. 尺寸要求：符合设计图纸要求；4. 通用要求：无明显质量缺陷,C,1.0,采购件,,总装,纸箱,0.022,44.29,90.61,40.93,360.0,360.0,360.0,24.0
H97A3102001ABPK01,车轮装饰盖,,,1. 核心防护：防损伤、防污损、防丢失；2. 外观要求：表面无划痕、无锈蚀、无破损；3. 尺寸要求：符合设计图纸要求；4. 通用要求：无明显质量缺陷,C,4.0,采购件,,总装,纸箱,0.031,69.24,69.24,28.58,565.0,565.0,565.0,14.0
H97A5515015ABJK05,后背门左侧装饰板总成,,,1. 核心防护：防变形、防划伤、防碰撞；2. 尺寸要求：关键尺寸偏差≤±0.5mm；3. 表面要求：无凹陷、无划痕、无锈蚀；4. 材质要求：符合设计强度标准,C,1.0,采购件,0.259,总装,纸箱,0.31,479,254,216,720.0,720.0,720.0,6.0
H97A6205011AA,后门外开拉丝总成,,,1. 核心防护：防损伤、防污损、防丢失；2. 外观要求：表面无划痕、无锈蚀、无破损；3. 尺寸要求：符合设计图纸要求；4. 通用要求：无明显质量缺陷,C,2.0,采购件,0.0377,总装,纸箱,0.074,548.43,426.91,128.74,360.0,360.0,360.0,48.0
H97A3506004AA,制动管路4号总成,,,1. 核心防护：防挤压、防破损、防老化；2. 密封要求：接口密封良好，无泄漏风险；3. 材质要求：无裂纹、无气泡、无破损；4. 尺寸要求：内径、壁厚符合设计要求,C,1.0,采购件,0.082,总装,纸箱,0.152,897,302,227,720.0,720.0,720.0,48.0
